"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rnf227",1.46279146544481e-44,1.80201734130207,0.931,0.613,4.72262224618856e-40
"Fbxw7",1.72288515427308e-44,2.2767238369238,0.859,0.42,5.56233472057062e-40
"Rps15",1.92937725906076e-44,0.769729962757676,1,1,6.22899448087766e-40
"Arhgdig",2.18056511881832e-44,1.87332921878856,0.897,0.635,7.03995448610496e-40
"Ndufa13",3.3648659345839e-44,0.903347432856842,1,1,1.08634696698041e-39
"mt-Cytb",3.37980715491105e-44,0.785810368000478,1,1,1.09117073996303e-39
"Sorl1",5.99826831581772e-44,1.92312515894283,0.922,0.619,1.93654092576175e-39
"Ap2a2",6.44877481012466e-44,1.72440255627118,0.928,0.619,2.08198694744875e-39
"Cdk16",7.90677508213575e-44,1.60413450287819,0.947,0.713,2.55270233526753e-39
"Maged1",7.95556362930513e-44,1.14209103846696,0.997,0.934,2.56845371772116e-39
"Map1lc3b",8.58689305091816e-44,1.21683888009095,0.987,0.906,2.77227842148893e-39
"Uchl1",1.30942071905921e-43,1.24290215553486,1,0.994,4.22746479148266e-39
"Atp5k",1.32051108289722e-43,0.943552729193319,1,0.983,4.26327003113367e-39
"Ubl5",1.57270917852108e-43,1.01267370906913,1,0.978,5.07749158285529e-39
"Iscu",1.80286069223092e-43,1.46843394701179,0.966,0.762,5.82053574486751e-39
"Cops9",2.27234257740328e-43,1.00847890644102,0.994,0.989,7.3362580111465e-39
"Aco2",2.42527476491088e-43,1.10079824491414,0.997,0.956,7.82999957851478e-39
"Sez6l",2.72928460713727e-43,2.40366736858623,0.856,0.359,8.81149535414268e-39
"Ncs1",2.88081362616885e-43,1.60709947379496,0.956,0.674,9.30070679208614e-39
"Myl12b",3.25956014210469e-43,1.13460474822772,0.997,0.945,1.0523489918785e-38
"Ptprn",3.6715296523343e-43,1.25378617909854,1,0.851,1.18535334825613e-38
"Vxn",3.92322134686593e-43,2.89938685069321,0.749,0.431,1.26661201183567e-38
"Rasgrf1",4.24711179032274e-43,1.45381975958591,0.972,0.768,1.3711800415057e-38
"Ube2m",5.51215625650329e-43,1.24601647905554,0.984,0.873,1.77959964741209e-38
"Grcc10",5.93211830853418e-43,1.08265163692634,0.994,0.934,1.91518439591026e-38
"Uqcc2",6.11106147814754e-43,1.10175009867671,0.994,0.967,1.97295619821993e-38
